reference,category,type,subject,date,notifying_country,classification,risk_decision
"2021.3208","fruits and vegetables","food","formaldehyde, ethoxylated alcohol and 1,2 -benzoisothiazolinone in mangoes (Mangifera indica)  from Brazil","21-06-2021 07:54:44","Spain","border rejection notification","not serious"
"2021.3207","fruits and vegetables","food","unauthorised food additives ethoxylated alcohol and 1,2 -benzoisothiazolinone in mangoes (Mangifera indica) from Brazil","21-06-2021 07:53:13","Spain","border rejection notification","not serious"
"2021.3206","fruits and vegetables","food","unauthorised food additives ethoxylated alcohol and 1,2 -benzoisothiazolinone in mangoes (Mangifera indica) from Brazil.","21-06-2021 07:49:50","Spain","border rejection notification","not serious"
"2021.3204","fruits and vegetables","food","unauthorised food additives ethoxylated alcohol and 1,2 -benzoisothiazolinone in mangoes (Mangifera indica) from Brazil","21-06-2021 07:45:56","Spain","border rejection notification","not serious"
"2021.3203","fruits and vegetables","food","Cassava (Manihot esculenta), paraffin on its surface, Costa Rica","21-06-2021 07:41:33","Spain","border rejection notification","undecided"
"2021.3201","compound feeds","feed","Ruminant DNA in feed for trout from Belgium","18-06-2021 21:22:07","Belgium","information notification for attention","not serious"
"2021.3200","cereals and bakery products","food","milk ingredient undeclared on crunchy cereal flakes and chocolate from France","18-06-2021 17:18:00","Spain","alert notification","serious"
"2021.3199","poultry meat and poultry meat products","food","Salmonella enteritidis in chicken products from Poland","18-06-2021 17:17:52","Netherlands","alert notification","serious"
"2021.3198","poultry meat and poultry meat products","food","Salmonella in chilled Merguez sausage from Belgium","18-06-2021 16:50:34","Belgium","alert notification","serious"
"2021.3197","eggs and egg products","food","Salmonella Enteritidis in eggs (found on eggshells) from Poland","18-06-2021 16:37:56","Poland","alert notification","serious"
"2021.3196","poultry meat and poultry meat products","food","Salmonella Infantis in chicken from Poland","18-06-2021 16:33:09","Poland","alert notification","not serious"
"2021.3195","poultry meat and poultry meat products","food","Salmonella Enteritidis in fresh chicken meat from Poland","18-06-2021 16:31:16","Poland","alert notification","serious"
"2021.3194","herbs and spices","food","Mycotoxins in curry powder","18-06-2021 16:25:00","Switzerland","information notification for attention","serious"
"2021.3193","other food product / mixed","food","Glycidyl esters in banana cream biscuits from Saudi Arabia via the Netherlands","18-06-2021 16:17:19","Germany","alert notification","serious"
"2021.3192","herbs and spices","food","Unlabellede irradiation of sweet paprika from China.","18-06-2021 16:11:24","Romania","information notification for attention","not serious"
"2021.3191","cereals and bakery products","food","Ochratoxin A in organic oats from Lithuania","18-06-2021 16:03:19","Germany","alert notification","serious"
"2021.3190","cereals and bakery products","food","Glycidyl fatty acid esters in strawberry cream cookies from Saudi Arabia via Denmark and the Netherlands","18-06-2021 15:53:27","Germany","alert notification","serious"
"2021.3189","milk and milk products","food","Listeria monocytogenes in grill cheese from Austria","18-06-2021 15:33:24","Austria","alert notification","serious"
"2021.3188","nuts, nut products and seeds","food","Aflatoxins in red watermelon seeds from Lebanon","18-06-2021 15:31:19","Germany","alert notification","serious"
"2021.3187","cereals and bakery products","food","Unauthorised novel food riceberry rice from Thailand","18-06-2021 15:26:06","Greece","information notification for follow-up","undecided"
"2021.3186","nuts, nut products and seeds","food","Aflatoxins in pistachios from Turkey","18-06-2021 15:14:17","Germany","border rejection notification","serious"
"2021.3184","herbs and spices","food","S. Kiambu and S. Minnesota in black pepper from Brazil ","18-06-2021 14:56:16","Germany","border rejection notification","serious"
"2021.3181","compound feeds","feed","presence of unauthorized color additives in dog chews","18-06-2021 14:03:43","Spain","border rejection notification","undecided"
"2021.2949","fruits and vegetables","food","Exceeded limit of Sulphur dioxide in Lotus rootlet from Thailand","18-06-2021 11:04:19","Denmark","information notification for attention","not serious"
"2021.3175","poultry meat and poultry meat products","food","Salmonella enterica ser. Infantis (presence /25g) in chilled poultry meat from Poland","18-06-2021 10:45:39","Poland","information notification for follow-up","not serious"
"2021.3174","food contact materials","food contact material","Melamine products with bamboo fibers sold on UK web shop","18-06-2021 09:37:42","Belgium","information notification for follow-up","not serious"
"2021.3170","milk and milk products","food","Foreign bodies in infant formula for special medical purposes from the Netherlands","17-06-2021 17:42:41","Poland","information notification for follow-up","no risk"
"2021.3169","poultry meat and poultry meat products","food","Salmonella Enteritidis in official samples of chicken neck skins from Poland","17-06-2021 17:27:57","Poland","alert notification","serious"
"2021.3168","fruits and vegetables","food"," Cypermethrin in chilli peppers from Uganda","17-06-2021 17:24:27","Belgium","border rejection notification","serious"
"2021.3165","fish and products thereof ","food","Listeria monocytogenes present in seafood","17-06-2021 16:53:07","Netherlands","alert notification","serious"
"2021.3164","fruits and vegetables","food","Undeclared sulfur dioxide in dried shiitake mushrooms from Netherlands","17-06-2021 16:46:36","Denmark","alert notification","serious"
"2021.3160","fish and products thereof ","food","Salmonella Infantis in frozen fish (Gourami) from Vietnam","17-06-2021 15:59:46","Norway","information notification for follow-up","not serious"
"2021.3159","fruits and vegetables","food","Oxamyl  in fresh cucumber from Italy","17-06-2021 15:20:19","Croatia","information notification for attention","serious"
"2021.3157","herbs and spices","food","aflatoxin in nutmeg Indonesia","17-06-2021 14:43:56","Netherlands","border rejection notification","serious"
"2021.3153","food contact materials","food contact material","Migration of melamine and formaldehyde from melamine spoons from China","17-06-2021 13:31:52","Finland","border rejection notification","serious"
"2021.3152","dietetic foods, food supplements and fortified foods","food","prohibited substance yohimbine in food supplements offered online for sale","17-06-2021 12:10:14","Poland","information notification for attention","undecided"
"2021.3151","other food product / mixed","food","Maximum levels of pesticides exceeded in vine leaves from Turkey","17-06-2021 12:10:09","Germany","information notification for follow-up","undecided"
"2021.3146","herbs and spices","food"," unauthorized novel foods in spice blend garam masala from the United Kingdom","17-06-2021 09:43:56","Spain","border rejection notification","undecided"
"2021.3144","cereals and bakery products","food","Mold growth on wheat buns with vanilla cream","17-06-2021 09:20:04","Denmark","information notification for follow-up","not serious"
"2021.3143","food contact materials","food","Migration of aluminium","17-06-2021 09:11:31","Belgium","information notification for follow-up","not serious"
"2021.3142","compound feeds","feed","zinc in compound feed for pigs from Estonia","17-06-2021 08:31:28","Lithuania","information notification for follow-up","not serious"
"2021.3141","nuts, nut products and seeds","food","aflatoxin in Argentine groundnuts","17-06-2021 07:33:48","Netherlands","border rejection notification","serious"
"2021.3139","herbs and spices","food","Ethyleneoxide in Tandoori Masala barbeque spice blend","16-06-2021 17:05:32","Netherlands","alert notification","serious"
"2021.3138","fruits and vegetables","food","Methomyl in Carambola from Brazil","16-06-2021 17:04:52","Netherlands","alert notification","serious"
"2021.3136","herbs and spices","food","Foreign bodies (metal wires) in juniper berries ","16-06-2021 16:24:08","Germany","alert notification","serious"
"2021.3135","nuts, nut products and seeds","food","Aflatoxins in pistachios from the United States dispatched from Turkey","16-06-2021 16:22:02","Germany","border rejection notification","serious"
"2021.3134","dietetic foods, food supplements and fortified foods","food","unauthorised novel food ingredient 3,3'-diindolylmethane (DIM) in food supplement from the United Kingdom","16-06-2021 16:04:15","Belgium","information notification for follow-up","undecided"
"2021.3133","herbs and spices","food","ethylene oxide in black pepper extract from India used as an ingredient in food supplements manufactured in France","16-06-2021 16:03:34","Spain","alert notification","undecided"
"2021.3131","soups, broths, sauces and condiments","food","Allergens (egg and mustard) not mentioned on the label of sauce","16-06-2021 15:52:13","Belgium","alert notification","serious"
"2021.3130","poultry meat and poultry meat products","food","Salmonella Enteritidis in chicken neck skins from Poland ","16-06-2021 15:21:18","Poland","alert notification","serious"
"2021.3129","fish and products thereof ","food","mercury in smoked Marlin fillet from Spain","16-06-2021 15:03:25","Italy","alert notification","serious"
"2021.3128","food additives and flavourings","food","Unauthorized substance ethylene oxide in organic guar gum from India","16-06-2021 15:01:06","Germany","alert notification","serious"
"2021.3126","dietetic foods, food supplements and fortified foods","food","prohiprohibited substance yohimbine and presence of synefrine and caffeine in food supplement from United Kingdom","16-06-2021 14:43:03","Poland","information notification for attention","undecided"
"2021.3125","feed materials","feed","Salmonella in meat meal for pet food","16-06-2021 14:42:48","Italy","information notification for follow-up","not serious"
"2021.3124","herbs and spices","food","Undeclared allergen sulfur dioxide in dried lily bulbs from China, via the Netherlands","16-06-2021 14:37:15","Denmark","alert notification","serious"
